brand,model,price,sale_price
Dell,i7430-7374SLV-PUS,999.99
HP,15-fb1013dx,799.99,479.99
HP,15-DY5073DX,799.99,629.99
Lenovo,83BS0000US,749.99
HP,15-fh0023dx,1049.99
Lenovo,82V60065US,249.99
HP,15-fc0093dx,629.99,598.99
Lenovo,82YN0002US,999.99,899.99
HP,15-DY5033DX,499.99,329.99
HP,14-es0013dx,849.99,549.99
HP,14-es0033dx,1079.99,779.99
HP,15-fh0013dx,799.99
HP,15-fe0053dx,1149.99,849.99
HP,14-dq0001dx,249.99,212.99
Lenovo,82H80358US,629.99,535.99
Lenovo,82H803SBUS,629.99,419.99
HP,14-dq0054dx,199.99,169.99
HP,14-dq0052dx,179.99,169.99
HP,14-dq0051dx,199.99,189.99
HP,14-dq0055dx,199.99,189.99
ASUS,F1605VA-DS74,849.99
Lenovo,82XQ001GUS,499.99
Lenovo,21JR001SUS,929.99
Dell,T2M08,6325.55,4549.99
Lenovo,21JT001BUS,799.99
Dell,0F2DH,3239.99,3009.99
HP,16-aa0013dx,1749.99
MSI,STEALTH1713019,2199.99
Lenovo,82QC004BUS,429.99
Acer,SFG14-71T-71SZ,949.99
Dell,23KC8,2239.99
Acer,NX.VP2AA.008,1099.99
ASUS,G834JYR-XS97,3899.99
ASUS,G814JIR-XS96,2299.99
HP,822P5UT#ABA,1099.99
ASUS,M1605XA-EB96,799.99,699.99
ASUS,G814JZR-G18.I94080,2599.99
Razer,RZ09-05102EJ9-R3U1,4699.99
HP,89D96UTABA,1509.99
ASUS,K3502ZA-DS51,899.99
HP,17-cs0013dx,4999.99,4399.99
ASUS,GA402XY-XS96,3299.99
ASUS,GU604VY-XS97,3499.99
Razer,RZ09-0484UEH4-R3U1,4524.99
ASUS,M6500XV-EB96,1299.99
Alienware,AWM18-A537BLK-PUS,2799.99
Lenovo,ThinkPad T470,1099.99
ASUS,GA402XZ-CS94,2499.99,2199.99
Lenovo,82YQ003RUS,2099.99
HP,840 G3-31676,309.99
